Date,Province/State,Population,Deaths,Confirmed
2020-03-09,Hawaii,1415872,0,1
2020-03-09,Illinois,12671821,0,7
2020-03-09,Indiana,6732219,0,3
2020-03-09,Iowa,3155070,0,3
2020-03-09,Kansas,2913314,0,1
2020-03-09,Kentucky,4467673,0,4
2020-03-09,Maryland,6045680,0,5
2020-03-09,Massachusetts,6892503,0,22
2020-03-09,Minnesota,5639632,0,2
2020-03-09,Missouri,6626371,0,1
2020-03-09,Nebraska,1934408,0,3
2020-03-09,Nevada,3080156,0,4
2020-03-09,New Hampshire,1359711,0,4
2020-03-09,New Jersey,8882190,0,5
2020-03-09,New York,23628065,0,142
2020-03-09,North Carolina,10488084,0,2
2020-03-09,Oklahoma,3956971,0,1
2020-03-09,Oregon,4217737,0,14
2020-03-09,Pennsylvania,12801989,0,7
2020-03-09,Rhode Island,1059361,0,3
2020-03-09,South Carolina,5148714,0,3
2020-03-09,Tennessee,6829174,0,3
2020-03-09,Texas,28995881,0,13
2020-03-09,Utah,3205958,0,1
2020-03-09,Vermont,623989,0,1
2020-03-09,Virginia,8535519,0,2
2020-03-09,Washington,7614893,19,122
2020-03-10,Arizona,7278717,0,6
2020-03-10,California,39512223,2,144
2020-03-10,Colorado,5758736,0,14
2020-03-10,Connecticut,3565287,0,1
2020-03-10,Florida,21477737,2,15
2020-03-10,Georgia,10617423,0,17
2020-03-10,Hawaii,1415872,0,3
2020-03-10,Illinois,12671821,0,12
2020-03-10,Indiana,6732219,0,6
2020-03-10,Iowa,3155070,0,8
2020-03-10,Kansas,2913314,0,1
2020-03-10,Kentucky,4467673,0,5
2020-03-10,Maryland,6045680,0,8
2020-03-10,Massachusetts,6892503,0,41
2020-03-10,Minnesota,5639632,0,2
2020-03-10,Missouri,6626371,0,1
2020-03-10,Nebraska,1934408,0,3
2020-03-10,Nevada,3080156,0,4
2020-03-10,New Hampshire,1359711,0,4
2020-03-10,New Jersey,8882190,1,15
2020-03-10,New York,23628065,0,150
2020-03-10,North Carolina,10488084,0,7
2020-03-10,Ohio,11689100,0,3
2020-03-10,Oklahoma,3956971,0,2
2020-03-10,Oregon,4217737,0,14
2020-03-10,Pennsylvania,12801989,0,12
2020-03-10,Rhode Island,1059361,0,3
2020-03-10,South Carolina,5148714,0,7
2020-03-10,Tennessee,6829174,0,3
2020-03-10,Texas,28995881,0,16
2020-03-10,Utah,3205958,0,2
2020-03-10,Vermont,623989,0,1
2020-03-10,Virginia,8535519,0,8
2020-03-10,Washington,7614893,23,167
2020-03-10,Wisconsin,5822434,0,3
2020-03-11,Arizona,7278717,0,9
2020-03-11,California,39512223,4,178
2020-03-11,Colorado,5758736,0,30
2020-03-11,Connecticut,3565287,0,3
2020-03-11,Delaware,973764,0,1
2020-03-11,Florida,21477737,2,24
2020-03-11,Georgia,10617423,0,23
2020-03-11,Hawaii,1415872,0,2
2020-03-11,Illinois,12671821,0,25
2020-03-11,Indiana,6732219,0,11
2020-03-11,Iowa,3155070,0,13
2020-03-11,Kansas,2913314,0,1
2020-03-11,Kentucky,4467673,0,8
2020-03-11,Louisiana,4648794,0,5
2020-03-11,Maryland,6045680,0,9
2020-03-11,Massachusetts,6892503,0,92
2020-03-11,Michigan,9986857,0,2
2020-03-11,Minnesota,5639632,0,5
2020-03-11,Missouri,6626371,0,1
2020-03-11,Nebraska,1934408,0,5
2020-03-11,Nevada,3080156,0,7
2020-03-11,New Hampshire,1359711,0,5
2020-03-11,New Jersey,8882190,1,23
2020-03-11,New Mexico,2096829,0,3
2020-03-11,New York,23628065,0,220
2020-03-11,North Carolina,10488084,0,7
2020-03-11,Ohio,11689100,0,4
2020-03-11,Oklahoma,3956971,0,2
2020-03-11,Oregon,4217737,0,19
2020-03-11,Pennsylvania,12801989,0,16
2020-03-11,Rhode Island,1059361,0,5
2020-03-11,South Carolina,5148714,0,10
2020-03-11,South Dakota,884659,1,8
2020-03-11,Tennessee,6829174,0,9
2020-03-11,Texas,28995881,0,21
2020-03-11,Utah,3205958,0,3
2020-03-11,Vermont,623989,0,1
2020-03-11,Virginia,8535519,0,9
2020-03-11,Washington,7614893,24,282
2020-03-11,Wisconsin,5822434,0,4
2020-03-12,Arizona,7278717,0,9
2020-03-12,California,39512223,4,221
2020-03-12,Colorado,5758736,0,45
2020-03-12,Connecticut,3565287,0,5
2020-03-12,Delaware,973764,0,1
2020-03-12,Florida,21477737,2,30
2020-03-12,Georgia,10617423,1,31
2020-03-12,Hawaii,1415872,0,2
2020-03-12,Illinois,12671821,0,32
2020-03-12,Indiana,6732219,0,13
2020-03-12,Iowa,3155070,0,14
